nom_clinique;docteur;telephone;email;site_web;adresse;code_postal;ville;categories;siret
Cathy Esthétique;;06 14 83 56 96;;;535 av Bagatelle, 13090 Aix en Provence;13090;Aix en Provence;;
Clinique des Champs Elysées Aix en Provence - Médecine esthétique;;04 85 91 98 20;contact.aixenprovence@crpce.com;https://www.crpce.com/clinique-esthetique-aix-en-provence?utm_source=gmb&utm_medium=organic&utm_campaign=local_listing;pl François Villon, 13100 Aix en Provence;13100;Aix en Provence;;
Clinique Sainte Victoire;;04 42 91 44 44;;;13080 Aix-en-Provence;13080;Aix-en-Provence;;
EM Studio d'Esthétique;;06 29 41 60 39;em.aixenprovence@outlook.com;https://www.em-aixenprovence.fr/;3 Rue Papassaudi, 13100 Aix-en-Provence;13100;Aix-en-Provence;;
Ecole privée Susini Esthétique Ecole secondaire professionnelle;;04 42 20 42 20;a.dahak@peyrefitte.com;http://peyrefitte-esthetique.com/;384 Avenue du Club Hippique, 13090 Aix-en-Provence;13090;Aix-en-Provence;;
Amiens Injection;;03 22 67 52 00;;http://www.groupe-plastivaloire.com;r Croix de Pierre, 80000 Amiens;80000;Amiens;;
Clinique de l'Europe;;03 22 35 48 48;ylefrancois@clinique-de-leurope.fr;http://imagerie.pro;5 all Pays Bas, 80090 Amiens;80090;Amiens;;
Pôle des cliniques d'Amiens Service des Urgences;;03 60 12 52 25;;https://www.urgencespoledescliniques.fr/;5 Avenue d'Irlande, 80090 Amiens;80090;Amiens;;
Clinique du Sein;;02 41 35 28 50;;;15 r André Boquel, 49100 Angers;49100;Angers;;
Scm Ctre Chirurgie Plastique Angers Ccpa;;02 41 87 63 33;;;142 av De Lattre de Tassigny, 49000 Angers;49000;Angers;;
Chirurgien Dentiste Jean Guy Sabot;;09 67 13 62 99;;http://www.doqi.fr/chirurgiens-dentistes/antibes-06600/jean-guy-sabot;22 bd Mar Leclerc, 06600 Antibes;06600;Antibes;;
Clinique Science Et Beaute;;04 93 33 03 30;;;90 bd Francis Meilland, 06160 Antibes;06160;Antibes;;
